name_1,name_2
F#_aug_5_66_Tenor_Sax,D_aug_6_66_Tenor_Sax
F#_aug_5_66_Tenor_Sax,A#_aug_64_66_Tenor_Sax
D_aug_6_95_Sweep_Pad,F#_aug_5_95_Sweep_Pad
D_aug_6_95_Sweep_Pad,A#_aug_64_95_Sweep_Pad
F#_aug_5_106_Shamisen,A#_aug_64_106_Shamisen
F#_aug_5_106_Shamisen,D_aug_6_106_Shamisen
E_aug_64_30_Distortion_Guitar,G#_aug_6_30_Distortion_Guitar
G_aug_6_36_Slap_Bass_1,D#_aug_64_36_Slap_Bass_1
C_aug_64_48_String_Ensemble_1,G#_aug_5_48_String_Ensemble_1
C_aug_64_48_String_Ensemble_1,E_aug_6_48_String_Ensemble_1
A_aug_6_84_Charang_Lead,C#_aug_5_84_Charang_Lead
C_aug_64_71_Clarinet,E_aug_6_71_Clarinet
C_aug_64_71_Clarinet,G#_aug_5_71_Clarinet
F_aug_6_75_Pan_Flute,C#_aug_64_75_Pan_Flute
F_aug_6_10_Music_Box,C#_aug_64_10_Music_Box
D#_aug_6_28_Electric_Muted_Guitar,B_aug_64_28_Electric_Muted_Guitar
D#_aug_6_28_Electric_Muted_Guitar,G_aug_5_28_Electric_Muted_Guitar
A_aug_6_11_Vibraphone,C#_aug_5_11_Vibraphone
G#_aug_5_72_Piccolo,E_aug_6_72_Piccolo
G#_aug_5_72_Piccolo,C_aug_64_72_Piccolo
C#_aug_5_12_Marimba,A_aug_6_12_Marimba
D#_aug_6_39_Synth_Bass_2,G_aug_5_39_Synth_Bass_2
D#_aug_6_39_Synth_Bass_2,B_aug_64_39_Synth_Bass_2
G_aug_6_93_Metallic_Pad,D#_aug_64_93_Metallic_Pad
A_aug_6_61_Brass_Section,C#_aug_5_61_Brass_Section
C_aug_64_111_Shanai,E_aug_6_111_Shanai
C_aug_64_111_Shanai,G#_aug_5_111_Shanai
B_aug_64_33_Fingered_Electric_Bass,G_aug_5_33_Fingered_Electric_Bass
B_aug_64_33_Fingered_Electric_Bass,D#_aug_6_33_Fingered_Electric_Bass
D_aug_5_59_Muted_Trumpet,A#_aug_6_59_Muted_Trumpet
A#_aug_6_91_Choir_Pad,D_aug_5_91_Choir_Pad
A_aug_64_35_Fretless_Bass,C#_aug_6_35_Fretless_Bass
A_aug_64_35_Fretless_Bass,F_aug_5_35_Fretless_Bass
D#_aug_6_0_Acoustic_Grand_Piano,B_aug_64_0_Acoustic_Grand_Piano
D#_aug_6_0_Acoustic_Grand_Piano,G_aug_5_0_Acoustic_Grand_Piano
C#_aug_6_84_Charang_Lead,F_aug_5_84_Charang_Lead
C#_aug_6_84_Charang_Lead,A_aug_64_84_Charang_Lead
A#_aug_64_40_Violin,F#_aug_5_40_Violin
A#_aug_64_40_Violin,D_aug_6_40_Violin
E_aug_6_64_Soprano_Sax,G#_aug_5_64_Soprano_Sax
G#_aug_6_27_Electric_Clean_Guitar,E_aug_64_27_Electric_Clean_Guitar
D#_aug_6_70_Bassoon,G_aug_5_70_Bassoon
D#_aug_6_70_Bassoon,B_aug_64_70_Bassoon
D#_aug_64_56_Trumpet,G_aug_6_56_Trumpet
A_aug_64_38_Synth_Bass_1,F_aug_5_38_Synth_Bass_1
A_aug_64_38_Synth_Bass_1,C#_aug_6_38_Synth_Bass_1
A#_aug_6_81_Sawtooth_Wave_Lead,D_aug_5_81_Sawtooth_Wave_Lead
A_aug_64_18_Rock_Organ,C#_aug_6_18_Rock_Organ
A_aug_64_18_Rock_Organ,F_aug_5_18_Rock_Organ
D_aug_5_61_Brass_Section,A#_aug_6_61_Brass_Section
C_aug_64_74_Recorder,G#_aug_5_74_Recorder
G#_aug_5_42_Cello,E_aug_6_42_Cello
G#_aug_5_42_Cello,C_aug_64_42_Cello
A_aug_6_28_Electric_Muted_Guitar,C#_aug_5_28_Electric_Muted_Guitar
G#_aug_5_63_Synth_Brass_2,E_aug_6_63_Synth_Brass_2
F_aug_6_69_English_Horn,C#_aug_64_69_English_Horn
A_aug_6_45_Pizzicato_Strings,C#_aug_5_45_Pizzicato_Strings
D#_aug_64_82_Calliope_Lead,G_aug_6_82_Calliope_Lead
C#_aug_6_80_Square_Wave_Lead,A_aug_64_80_Square_Wave_Lead
C#_aug_6_80_Square_Wave_Lead,F_aug_5_80_Square_Wave_Lead
C_aug_64_44_Tremolo_Strings,G#_aug_5_44_Tremolo_Strings
D#_aug_6_89_Warm_Pad,B_aug_64_89_Warm_Pad
D#_aug_6_89_Warm_Pad,G_aug_5_89_Warm_Pad
G_aug_5_107_Koto,B_aug_64_107_Koto
G_aug_5_107_Koto,D#_aug_6_107_Koto
E_aug_64_58_Tuba,G#_aug_6_58_Tuba
D#_aug_64_83_Chiff_Lead,G_aug_6_83_Chiff_Lead
G#_aug_6_38_Synth_Bass_1,E_aug_64_38_Synth_Bass_1
