name_1,name_2
revhairpin-1_p-mf_Agogo_beat4-3_rvb2_off0,revhairpin-1_p-mf_Agogo_beat4-3_rvb2_off264
revhairpin-1_p-mf_Agogo_beat4-3_rvb2_off0,revhairpin-1_p-mf_Agogo_beat4-3_rvb2_off431
subp-1_pp-mf_MelodicTom_beat4-3_rvb0_off264,subp-1_pp-mf_MelodicTom_beat4-3_rvb0_off0
subp-1_pp-mf_MelodicTom_beat4-3_rvb0_off264,subp-1_pp-mf_MelodicTom_beat4-3_rvb0_off431
hairpin-3_p-ff_Agogo_beat4-6_rvb2_off0,hairpin-3_p-ff_Agogo_beat4-6_rvb2_off431
hairpin-3_p-ff_Agogo_beat4-6_rvb2_off0,hairpin-3_p-ff_Agogo_beat4-6_rvb2_off264
revhairpin-1_pp-f_Woodblock_beat4-6_rvb0_off431,revhairpin-1_pp-f_Woodblock_beat4-6_rvb0_off264
revhairpin-1_pp-f_Woodblock_beat4-6_rvb0_off431,revhairpin-1_pp-f_Woodblock_beat4-6_rvb0_off0
revhairpin-2_mp-ff_DSnareDrum1_beat4-4_rvb1_off0,revhairpin-2_mp-ff_DSnareDrum1_beat4-4_rvb1_off431
revhairpin-2_mp-ff_DSnareDrum1_beat4-4_rvb1_off0,revhairpin-2_mp-ff_DSnareDrum1_beat4-4_rvb1_off264
decresc_p-f_DSnareDrum1_beat4-4_rvb2_off431,decresc_p-f_DSnareDrum1_beat4-4_rvb2_off0
decresc_p-f_DSnareDrum1_beat4-4_rvb2_off431,decresc_p-f_DSnareDrum1_beat4-4_rvb2_off264
revhairpin-2_pp-mf_MelodicTom_beat4-2_rvb0_off0,revhairpin-2_pp-mf_MelodicTom_beat4-2_rvb0_off431
revhairpin-2_pp-mf_MelodicTom_beat4-2_rvb0_off0,revhairpin-2_pp-mf_MelodicTom_beat4-2_rvb0_off264
subp-1_mp-ff_TaikoDrum_beat4-6_rvb1_off264,subp-1_mp-ff_TaikoDrum_beat4-6_rvb1_off431
hairpin-2_mp-ff_TaikoDrum_beat4-4_rvb0_off0,hairpin-2_mp-ff_TaikoDrum_beat4-4_rvb0_off431
hairpin-2_mp-ff_TaikoDrum_beat4-4_rvb0_off0,hairpin-2_mp-ff_TaikoDrum_beat4-4_rvb0_off264
cresc_pp-mf_Agogo_beat4-2_rvb0_off431,cresc_pp-mf_Agogo_beat4-2_rvb0_off0
cresc_pp-mf_Agogo_beat4-2_rvb0_off431,cresc_pp-mf_Agogo_beat4-2_rvb0_off264
