name_1,name_2
B_11_DOWN_67_Baritone_Sax,B_12_DOWN_67_Baritone_Sax
B_11_DOWN_67_Baritone_Sax,B_9_DOWN_67_Baritone_Sax
B_11_DOWN_67_Baritone_Sax,B_10_DOWN_67_Baritone_Sax
B_9_UNISON_67_Baritone_Sax,B_10_UNISON_67_Baritone_Sax
B_9_UNISON_67_Baritone_Sax,B_11_UNISON_67_Baritone_Sax
B_10_UP_67_Baritone_Sax,B_9_UP_67_Baritone_Sax
B_10_UP_67_Baritone_Sax,B_11_UP_67_Baritone_Sax
B_10_UNISON_67_Baritone_Sax,B_11_UNISON_67_Baritone_Sax
A_11_UP_67_Baritone_Sax,A_12_UP_67_Baritone_Sax
A#_11_UNISON_67_Baritone_Sax,A#_10_UNISON_67_Baritone_Sax
B_9_UP_67_Baritone_Sax,B_11_UP_67_Baritone_Sax
A#_10_DOWN_67_Baritone_Sax,A#_11_DOWN_67_Baritone_Sax
A#_10_DOWN_67_Baritone_Sax,A#_12_DOWN_67_Baritone_Sax
A#_10_UP_67_Baritone_Sax,A#_12_UP_67_Baritone_Sax
A#_10_UP_67_Baritone_Sax,A#_11_UP_67_Baritone_Sax
A#_12_UP_67_Baritone_Sax,A#_11_UP_67_Baritone_Sax
A#_11_DOWN_67_Baritone_Sax,A#_12_DOWN_67_Baritone_Sax
B_12_DOWN_67_Baritone_Sax,B_9_DOWN_67_Baritone_Sax
B_12_DOWN_67_Baritone_Sax,B_10_DOWN_67_Baritone_Sax
A_12_DOWN_67_Baritone_Sax,A_11_DOWN_67_Baritone_Sax
B_9_DOWN_67_Baritone_Sax,B_10_DOWN_67_Baritone_Sax
