name_1,name_2
TaikoDrum_MelodicTom-bpm_180-rvb_1-offms_0-6a7,TaikoDrum_MelodicTom-bpm_180-rvb_1-offms_120-6a7
TaikoDrum_MelodicTom-bpm_180-rvb_1-offms_0-6a7,TaikoDrum_MelodicTom-bpm_180-rvb_1-offms_700-6a7
TaikoDrum_MelodicTom-bpm_180-rvb_1-offms_0-6a7,TaikoDrum_MelodicTom-bpm_180-rvb_1-offms_204-6a7
TaikoDrum_MelodicTom-bpm_180-rvb_1-offms_0-6a7,TaikoDrum_MelodicTom-bpm_180-rvb_1-offms_1067-6a7
DSnareDrum1_MelodicTom-bpm_180-rvb_2-offms_700-5a6,DSnareDrum1_MelodicTom-bpm_180-rvb_2-offms_1067-5a6
DSnareDrum1_MelodicTom-bpm_180-rvb_2-offms_700-5a6,DSnareDrum1_MelodicTom-bpm_180-rvb_2-offms_0-5a6
DSnareDrum1_MelodicTom-bpm_180-rvb_2-offms_700-5a6,DSnareDrum1_MelodicTom-bpm_180-rvb_2-offms_204-5a6
TaikoDrum_Woodblock-bpm_60-rvb_0-offms_700-3a11,TaikoDrum_Woodblock-bpm_60-rvb_0-offms_204-3a11
TaikoDrum_Woodblock-bpm_60-rvb_0-offms_700-3a11,TaikoDrum_Woodblock-bpm_60-rvb_0-offms_0-3a11
TaikoDrum_Woodblock-bpm_60-rvb_0-offms_700-3a11,TaikoDrum_Woodblock-bpm_60-rvb_0-offms_1067-3a11
MelodicTom_TaikoDrum-bpm_60-rvb_0-offms_1067-9a10,MelodicTom_TaikoDrum-bpm_60-rvb_0-offms_0-9a10
MelodicTom_TaikoDrum-bpm_60-rvb_0-offms_1067-9a10,MelodicTom_TaikoDrum-bpm_60-rvb_0-offms_700-9a10
MelodicTom_TaikoDrum-bpm_60-rvb_0-offms_1067-9a10,MelodicTom_TaikoDrum-bpm_60-rvb_0-offms_120-9a10
TaikoDrum_DSnareDrum1-bpm_120-rvb_2-offms_120-4a5,TaikoDrum_DSnareDrum1-bpm_120-rvb_2-offms_0-4a5
TaikoDrum_DSnareDrum1-bpm_120-rvb_2-offms_120-4a5,TaikoDrum_DSnareDrum1-bpm_120-rvb_2-offms_204-4a5
TaikoDrum_DSnareDrum1-bpm_120-rvb_2-offms_120-4a5,TaikoDrum_DSnareDrum1-bpm_120-rvb_2-offms_700-4a5
TaikoDrum_DSnareDrum1-bpm_120-rvb_2-offms_120-4a5,TaikoDrum_DSnareDrum1-bpm_120-rvb_2-offms_1067-4a5
Agogo_MelodicTom-bpm_60-rvb_2-offms_204-4a9,Agogo_MelodicTom-bpm_60-rvb_2-offms_700-4a9
Agogo_MelodicTom-bpm_60-rvb_2-offms_204-4a9,Agogo_MelodicTom-bpm_60-rvb_2-offms_1067-4a9
Agogo_MelodicTom-bpm_60-rvb_2-offms_204-4a9,Agogo_MelodicTom-bpm_60-rvb_2-offms_0-4a9
